Title,Perusahaan,Kategori,Lokasi,Skills,Lat,Lon,Klasifikasi
Sales Representative,Finartindo Kriya Abadi,Penjualan dan Pemasaran,Tangerang,"Communication, Negotiation, Microsoft Office, Sales & Marketing",-6.3004652,106.5960496,NON-IPTEK
Crew Dcrepes Balikpapan,PT. Jaddi Globalindo,Operasi Restoran,Balikpapan,"cook, komunikasi, Customer Service",-1.2398711,116.8593379,NON-IPTEK
Staff Business Consultant (BC),PT. Rifan Financindo Berjangka Semarang,Marketing dan Relasi Publik,Semarang,"Marketing, Sales Strategy & Management, Microsoft Office, Public Speaking & Presentations, Communication Skills, Marketing Strategy, Marketing Management, Sales & Marketing, Marketing Communications",-6.9903988,110.4229104,NON-IPTEK
COMMUNITY OFFICER - ACEH,"PT Bank Btpn Syariah, Tbk Kc Padang",Operasi Perbankan,Banda Aceh,"Communication Skills, Community Management",5.5528455,95.3192908,NON-IPTEK
COMMUNITY OFFICER - SUMATERA UTARA,"PT Bank Btpn Syariah, Tbk Kc Padang",Operasi Perbankan,Medan,"Communication Skills, Community Management",3.5894617,98.6741623,NON-IPTEK
COMMUNITY OFFICER - KALIMANTAN TIMUR,"PT Bank Btpn Syariah, Tbk Kc Padang",Operasi Perbankan,Samarinda,"Communication Skills, Community Management",-0.5017804,117.1393089,NON-IPTEK
COMMUNITY OFFICER KALIMANTAN TENGAH,"PT Bank Btpn Syariah, Tbk Kc Padang",Operasi Perbankan,Palangkaraya,"Communication Skills, Marketing Communications, Community Management",-2.2072919,113.9164372,NON-IPTEK
Asisten Manager Finance & Acc,Jec Medika Primasana,Akuntansi & Keuangan,Jakarta,"Microsoft Excel, Microsoft Office, Risk Analysis",-6.1754049,106.827168,NON-IPTEK
Account Executive,PT Indonesia Muda Kreasi (IM Road Runner),Layanan Pelanggan,Tangerang Selatan,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations",-6.3227016,106.7085737,NON-IPTEK
DRIVER TRUCK,PT Tedmoninndo Pratamasemesta,Supir,Bekasi,drive,-6.2027897,107.1649161,NON-IPTEK
Sewing Operator Menjahit,PT. Liebra Permana Semarang,Manufaktur dan Produksi,Semarang,"sewing, Menjahit, jahit",-7.1287142,110.403619,NON-IPTEK
Supervisor Retail & Distribusi,PT Plexus Distribusi Modern,Penjualan dan Pemasaran,Balikpapan,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations",-1.2398711,116.8593379,NON-IPTEK
