Title,Perusahaan,Kategori,Lokasi,Skills
Leasing Executive untuk Plaza Senayan,PT. Senayan Trikarya Sempana,Penjualan dan Pemasaran,Jakarta,"Negotiation, Microsoft Office, English Language, Communications, Market Research & Analysis"
Petugas produksi,Konimex,Manufaktur dan Produksi,KAB. SUKOHARJO,Mampu mengikuti instruksi kerja
Field Inspector (Mekanik),PT. Jba Indonesia,"Teknik, Mesin",KOTA SEMARANG,"Mengetahui tentang kendaraan roda 2 & roda 4, dapat mengendarai mobil, Mempunyai SIM A"
Supervisor Provider - Solo/Surakarta,Proxcare Solusi Global Outsourcing,Penjualan dan Pemasaran,KOTA SURAKARTA,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
Mitra Kurir Motor - Kab Kudus,PT. Tri Adi Bersama,Logistik,KAB. CILACAP,Microsoft Office
Sales Promotor (Kudus),PT. Elabram Systems,Penjualan dan Pemasaran,KAB. KUDUS,"Retail Management, Sales & Marketing"
Account Officer (Kademangan - Blitar Jawa Timur),PT Bina Artha Ventura,Penjualan dan Pemasaran,KAB. BLITAR,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
Account Officer (Talun - Blitar Jawa Timur),PT Bina Artha Ventura,Penjualan dan Pemasaran,KAB. BLITAR,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
Account Officer (Wlingi - Blitar Jawa Timur),PT Bina Artha Ventura,Penjualan dan Pemasaran,KAB. BLITAR,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
Mill Foreman,PT Bungasari Flour Mills Indonesia - Cilegon,Manufaktur dan Produksi,KOTA CILEGON,"GMP, Microsoft Office, Flour Milling"
Marketing Staff,PT Valbury Asia Futures,Telemarketing,Bandung,"Marketing, Content Marketing, Trade Marketing, Online Marketing, Digital Marketing"
SPG/SPB Event - Surabaya,PT Infomedia Solusi Humanika Pontianak,Penjualan dan Pemasaran,KOTA SURABAYA,Sales & Marketing
Pramuniaga (Gadai),Solusi Gadai Pintar,Penjualan dan Pemasaran,Jakarta,"Sales & Marketing, gadai, Sales"
