Title,Perusahaan,Kategori,Lokasi,Skills
Marketing Specialist,PT TAXPRO JAYA INDONESIA,Marketing Online,Jakarta Utara,"Content Creator, Komunikatif"
Social Media,PT Mayura Orienta Provisi,Social Media Specialist,Remote,Digital Content Management
Marketing,PT. MINI CENDANA NAM,Marketing Executive,Jakarta Barat,"marketing, Negosiasi, Komunikasi"
Social Media Content Marketing,PT. Cahaya Bangun Makmur,Social Media Marketing,Jakarta Barat,"Video Audio Editing, Tiktok Ads, Instagram Ads, endorse, paid promote, content, Adobe Adobe Premiere Pro, Adobe Photoshop, Adobe Lightroom, ADS Meta, Facebook, Instagram"
Magang Social Media Marketing,PT. Loker Asli Indonesia,Social Media Specialist,Medan,"Canva, Copywriting"
Digital Marketing (Meta & TikTok Ads),Sinergi Kita Urunan,Digital Marketing,Lombok,"Digital Marketing, Tiktok Ads, Meta Ads, CapCut edit video ringan, Coppy Writing"
Admin Sosmed Rohani,PT CENTRUM BAZAAR NUSANTARA,Admin Online,Remote,"Facebook, Instagram, TWITTER, Tiktok, YouTube, Kristen"
Marketing Manager,DNA Tour - PT Darul Nur Amanah,Manager Marketing,Kuningan,"Kreatif dan inovatif, Office Microsoft Office, WPS Office, Librare Office, Leader ship Menciptakan suasana kerja yang nyaman, menyenangkan dan efektif sehingga team work target perusahaan berjalan dengan baik, Target Oriented, Good Attitude, Responsibility, Dicipline, Creative, Team Work"
Digital Marketing Sales,Prodema Investment Indonesia,Digital Marketing,Badung,"Digital Marketing, Digital Marketing Admin Ecommerce, Social Media Handler, Pembuatan Creative Konten untuk Soscial Media., Edit foto dan video"
Staff Admin Sosial Media,PT.Samawa Khidmat Haromain,Admin Social Media,Magetan,"Google Ads Specialist, Sosial media marketing, Market"
Marketing,DNA Tour - PT Darul Nur Amanah,Marketing Executive,Kuningan,"Marketing Strategy, Digital Marketing"
Sales Marketing Executive,Sentosa Jakarta,Sales Marketing,Jakarta Pusat,Sales Marketing
Admin Sosial Media,Danez Healthcare Indonesia,Admin Social Media,Bekasi,content social media
Marketing Executive,PT. Zhafirah Mitra Madina,Marketing Executive,Gresik,"marketing, Sales Marketing, Sales Marketing Strategy, Bancassurance Skills, Marketing Properti"
Digital Campaign Staff,Rumah Yatim,Digital Communication,Kota Yogyakarta,"gemar menulis, fotografi & videografi"
Sales Marketing,PT. Zhafirah Mitra Madina,Sales Marketing,Sampang,"marketing, Sales Marketing, Sales Marketing Strategy, Sales, Bank Reconciliation, Bancassurance Skills, Akuntansi Bank Syariah"
Social Media Marketing,PT. KREASI UNIVERSAL,Social Media Marketing,Surabaya,"Social Campaign, Social Media Advertising, Brand Marketing Strategy, Branding activity, launching, exhibition, Social Media Strategic Marketing., Instagram Ads, endorse, paid promote, content, brand campaign management, Content Creation Social Media Strategy Memiliki pengalaman sebagai content creator dan fashion affiliate di platform media sosial, khususnya di TikTok. Terampil dalam merancang konsep konten yang menarik, memahami trend digital, serta mampu meningk, Brand Awareness and Marketing Knowledge, Dapat melakukan promosi pada sosial media Instgram, Twitter, Facebook, Tiktok"
Operator Marketing Officer,Balimmo Development Group,Marketing Property,Badung,"Reservation and OTA., Digital marketing strategy - SEO dan SEM - Content marketing dan copywriting - Manajemen media sosial Instagram, Facebook - Email marketing tools - Google Analytics dan Meta Ads Manager - Pengelolaan OTA Online Travel Agent seperti Agoda, Booki"
Sosial Media Digital Marketing Specialist,PT SHANKARA CABOT BAJRA DANAPATI,Social Media Specialist,Jakarta Utara,"SEO, SEM,, Paid Ads, ROI Strategies"
Sales Manager,PT Bisnis Hub Asia,Sales Manager,Jakarta Barat,"Layanan VIP dan Tamu Khusus, CRM Customer Relationship Management, Growth development"
Social Media Staff (Host Live),CV. The Good Food,Social Media Specialist,Jakarta Utara,"Video Editing, Content creation, Live Host Tiktok"
Digital Marketing Specialist,Agro Berkah Harmoni,Digital Marketing,Magetan,"HTMLCSS, Facebook Ads., Google Analytic Office, Google Ads Specialist, Google analytic, Google Ads, Komunikasi dan interaksi, Mailchimp, Kreatif dalam buat perencanaan"
Admin Sosial Media,Seasons Store PGMTA,Admin Social Media,Jakarta Pusat,"Editing, Canva, Capcut, Sosial Media, konten creator"
Digital Marketing,PT Jiwa Raga Sejahtera,Digital Marketing,Jakarta Selatan,Digital Marketing
Creative Content Specialist,PT Jiwa Raga Sejahtera,Content Marketing,Jakarta Selatan,Content Creator
Marketing,Columbus Cabang Daya,Marketing Executive,Makassar,"Negosiasi dan komunikasi, Penjualan atau marketing"
Digital Marketing,Supply Chain Indonesia,Digital Marketing,Bandung Kota,"Photography, Videography, Bahasa Inggris lisan dan tulisan, Graphic Design, Copywriting, Tools software desain grafis Canva, Adobe photoshop, Adobe Illustrator"
Marketing Export Staff,PT. Equator JIngga,Marketing Executive,Jakarta Selatan,"Communication Skill, Email"
Marketing Staff,PT SIWA SEMESTA SEJAHTERA,Staff Marketing,Tangerang Selatan,"Digital Marketing, Data Analyst, Campaign Management, Komunikasi"
Content Creator,Wonder learning center,Content Creator,Jakarta Selatan,"Kreatif., Konten Kreator"
Creative Digital Marketing Officer,EVERBEAU,Social Media Marketing,Jakarta Barat,Graphic Design
Social Media Officer,Beungharcom,Social Media Specialist,Bandung Barat,"Time Management, English"
Magang Sosial Media,PT CENTRUM BAZAAR NUSANTARA,Social Media Specialist,Remote,"content social media, Facebook, Instagram, TWITTER, Tiktok, YouTube"
Staff Marketing Support,PT. Subahtera Semesta Graphika,Marketing Support,Jakarta Barat,"Microsoft Excel, Mengetik 10 jari, Mengerti proses desain, terbiasa menggunakan Accurate lebih disukai"
Head of Marketing,SKE CITY PARK,Head of Marketing,Kota Yogyakarta,"marketing, Digital Marketing, Pemasaran dan Penjualan"
Marketing Staff,Mego Express,Staff Marketing,Surabaya,"Admin, Komunikasi Kemampuan komunikasi lisan dan tulisan, termasuk dalam Bahasa Inggris., Berhitung dan Analisis"
Marketing Staff,MR Printing and Packaging,Staff Marketing,Jakarta Barat,"marketing, Digital Marketing, Presentasi dan Komunikasi, Analisi Data, proble solving, Komunikasi"
Digital Marketing,PT Sun Auto Accesories,Digital Marketing,Bekasi,"Design Graphic, Digital Marketing, Digital marketing, Komunikasi"
Digital Marketing,Himeya Rambas Agency,Digital Marketing,Jakarta Pusat,"marketing, SEO, SEM,, Digital Marketing"
Marketing Project,PT ZARAYA INTI PRATAMA,Project Marketing,Jakarta Selatan,"Negosiasi, Strategi pemasaran digital dan konvensional, Pengelolaan kampanye pemasaran, Riset pasar dan analisis kompetitor, Penggunaan software pemasaran dan project management tools contoh Trello, Asana, Google Analytics"
Sales Manager,Best Western Resort Kuta,Sales Manager,Badung,"Time Management, Teamwork, Sales Marketing, Sales Marketing Strategy, Team Management, Adaptability, Target Oriented, Market Analysis, Negotiate with client, Leader Ship, Client management, Analisa revenue, supaya target yang telah ditentukan dapat tercapai., Revenue Analyst"
Content Creator,Tarian Mas,Content Creator,Bandung Kota,"Canva, Capcut, Adobe, illustlator"
Marketing Executive,PT Ramedihan Sukses Bersama,Marketing Executive,Jakarta Utara,"Komunikasi dan interaksi, Media Social, Itinerary"
Online Marketing,FOSS GROUP,Digital Marketing,Tangerang,"Meta Ads, Digital Marketing Online Marketing"
Head Marketing,PT Smile Lab Group Lamaison,Head of Marketing,Jakarta Selatan,"marketing, Digital Marketing"
Marketing Executive,PT. Remora Era Mandiri,Marketing Executive,Bekasi,"marketing commnications, mengusai excel dan words, system accurate anti bisa di ajarkan kedepanya"
Marketing Officer,PT Bumi Sarana Harmoni,Marketing Officer,Semarang,"marketing, Communication, Sales Marketing, Guest Relation Experience."
Media Social Content Creator,Tarian Mas,Content Creator,Bandung Kota,"Adobe Photoshop, Corel Draw, Content Creator, content social media"
Head Marketing Fashion Retail,Tarian Mas,Head of Marketing,Bandung Kota,"Digital Marketing, Komunikasi dan interaksi, Manage Event"
Marketing Sales,CV Selera Orang Banyak,Sales Marketing,Tasikmalaya,"Sales Marketing, Sales Marketing Strategy, Market Analisis, Market Planning."
Content Creator,CROSSWELL AUDIO,Content Creator,Kabupaten Tangerang,"Content Creator, Edit Video"
Social Media Specialist,PT SIWA SEMESTA SEJAHTERA,Social Media Specialist,Tangerang Selatan,"marketing, Social Media, Copy Writing"
Digital Marketing,CV HAOTEX,Digital Marketing,Bandung Kota,Digital Marketing
Sales,SKE CITY PARK,Sales Retail,Kota Yogyakarta,"Penjualan dan pemasaran, Komunikasi dan negosiasi dengan baik., Database Management"
Marketing Public Relation,Al-Bahjah Cianjur,Marketing Communication,Cianjur,Komunikasi
Content Creator,Hareem By Ameera,Content Creator,Jakarta Timur,"Content Creator, Membuat konten media sosial"
Tim Kreatif Konten,PT ZUHRA GLOBAL INDONESIA,Content Creator,Bekasi,Komputer
Marketing Communication,Pegasus RC & Hobby Shop,Marketing Communication,Jakarta Utara,"marketing, Editing, Comunication Public Speaking"
Marketing,Travel King Malik,Marketing Executive,Cikarang,"marketing, Public Speaking., Kerja Dalam Tim"
